CENTRO,CARRERA,ASPIRANTES,ADMITIDOS,CUPO,PUNTAJE_MINIMO,CALENDARIO
CUAAD,LICENCIATURA EN ARQUITECTURA,1194,220,220,165.9967,2
CUAAD,LICENCIATURA EN DISEÑO ARTE Y TECNOLOGIAS INTERACTIVAS,571,21,21,178.6667,2
CUAAD,LICENCIATURA EN DISEÑO DE INTERIORES Y AMBIENTACION ,329,60,60,155.9400,2
CUAAD,LICENCIATURA EN DISEÑO DE MODAS,231,40,40,162.5000,2
CUAAD,LICENCIATURA EN DISEÑO INDUSTRIAL,393,80,80,161.0867,2
CUAAD,LICENCIATURA EN DISEÑO PARA LA COMUNICACION GRAFICA,651,170,170,151.4333,2
CUAAD,LICENCIATURA EN URBANISTICA Y MEDIO AMBIENTE,45,45,50,73.1400,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN CANTO,1,1,5,88.0000,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN COMPOSICION,5,5,10,75.4600,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN DIRECCION CORAL,4,4,10,76.3300,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN EJECUTANTE,15,15,25,73.0000,2
CUAAD,LICENCIATURA EN MUSICA CON ORIENTACION EN PEDAGOGIA MUSICAL,5,5,10,89.3500,2
CUAAD,TECNICO EN MUSICA,109,109,150,68.0000,2
CUAAD,LICENCIATURA EN ARTES ESCENICAS PARA LA EXPRESION DANCISTICA,37,37,37,68.0000,2
CUAAD,LICENCIATURA EN ARTES ESCENICAS PARA LA EXPRESION TEATRAL,23,23,25,73.5900,2
CUAAD,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION FOTOGRAFICA,57,57,60,71.0000,2
CUAAD,LICENCIATURA EN ARTES VISUALES PARA LA EXPRESION PLASTICA,61,61,61,77.8800,2
CUCBA,INGENIERO AGRONOMO,411,260,260,82.5000,2
CUCBA,LICENCIATURA EN AGRONEGOCIOS,45,45,50,67.8100,2
CUCBA,LICENCIATURA EN BIOLOGIA,279,260,260,76.6200,2
CUCBA,LICENCIATURA EN CIENCIA DE LOS ALIMENTOS,38,38,40,69.0000,2
CUCBA,LICENCIATURA EN MEDICINA VETERINARIA Y ZOOTECNIA,1404,270,270,92.3800,2
CUCEA,INGENIERIA EN NEGOCIOS,241,91,91,92.0000,2
CUCEA,LICENCIATURA EN ADMINISTRACION,933,385,385,139.0367,2
CUCEA,LICENCIATURA EN ADMINISTRACION FINANCIERA Y SISTEMAS,834,245,245,157.3333,2
